City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Description
0,Sayyan,15.1718,44.3244,57.25,51,11,1.63,YE,few clouds
1,Seddon,-37.8068,144.8916,64.0,63,90,9.22,AU,overcast clouds
2,Hermanus,-34.4187,19.2345,63.0,81,100,3.0,ZA,overcast clouds
3,Matara,5.9485,80.5353,82.2,77,34,3.04,LK,scattered clouds
4,Sanchursk,56.9413,47.2499,37.83,96,100,8.16,RU,moderate rain
5,Torbay,47.6666,-52.7314,37.99,93,75,18.41,CA,broken clouds
6,Rio Grande,-32.035,-52.0986,63.0,95,100,8.28,BR,light rain
7,San Cristobal,7.7669,-72.225,78.8,89,40,2.3,VE,fog
8,Sinnamary,5.3833,-52.95,77.86,87,100,10.67,GF,overcast clouds
9,Phalombe,-15.8064,35.6507,61.2,88,88,1.77,MW,overcast clouds
10,Roald,62.5833,6.1333,35.6,93,90,4.61,NO,overcast clouds
11,Yumen,40.2833,97.2,58.73,18,38,7.67,CN,scattered clouds
12,Cape Town,-33.9258,18.4232,60.01,82,0,3.44,ZA,clear sky
13,Roma,43.2128,-75.4557,53.6,50,1,4.65,US,clear sky
14,Tomatlan,19.9333,-105.25,72.43,78,100,0.67,MX,overcast clouds
15,Malampaka,-3.1333,33.5333,64.15,90,98,4.27,TZ,overcast clouds
16,Srednekolymsk,67.45,153.6833,20.21,80,100,8.68,RU,overcast clouds
17,Albany,42.6001,-73.9662,55.99,41,100,1.81,US,overcast clouds
18,Kapaa,22.0752,-159.319,78.8,65,20,14.97,US,few clouds
19,Puerto Ayora,-0.7393,-90.3518,75.6,88,89,6.08,EC,overcast clouds
20,Huron,41.1501,-82.5499,48.0,87,100,4.25,US,overcast clouds
21,Busselton,-33.65,115.3333,70.72,64,1,4.63,AU,clear sky
22,Rikitea,-23.1203,-134.9692,78.71,76,100,13.06,PF,overcast clouds
23,Hithadhoo,-0.6,73.0833,83.1,67,26,5.32,MV,scattered clouds
24,Jamestown,42.097,-79.2353,51.8,50,90,9.22,US,overcast clouds
25,Kirakira,-10.4544,161.9205,81.68,78,99,1.23,SB,overcast clouds
26,Northam,51.0333,-4.2167,46.99,62,0,8.99,GB,clear sky
27,Samarinda,-0.5,117.15,87.48,64,99,4.16,ID,overcast clouds
28,Hambantota,6.1241,81.1185,80.6,94,20,2.3,LK,few clouds
29,Arraial Do Cabo,-22.9661,-42.0278,72.97,81,7,7.16,BR,clear sky
30,Ushuaia,-54.8,-68.3,44.6,76,20,3.44,AR,few clouds
31,Khandyga,62.6667,135.6,27.21,81,100,1.12,RU,overcast clouds
32,Broome,42.2506,-75.833,55.4,35,90,4.61,US,overcast clouds
33,Basco,20.4487,121.9702,76.33,70,56,10.8,PH,broken clouds
34,Porto Novo,6.4965,2.6036,80.6,89,40,4.61,BJ,scattered clouds
35,Madang,-5.2246,145.7966,85.26,63,91,3.85,PG,overcast clouds
36,Pisco,-13.7,-76.2167,68.0,83,0,9.22,PE,clear sky
37,Kidal,18.4411,1.4078,82.63,8,1,6.42,ML,clear sky
38,Harper,4.375,-7.7169,79.93,85,100,7.67,LR,light rain
39,Kodinar,20.7903,70.7031,87.49,44,94,8.93,IN,overcast clouds
40,Saldanha,-33.0117,17.9442,59.0,88,100,4.61,ZA,overcast clouds
41,Bathsheba,13.2167,-59.5167,78.8,61,20,18.41,BB,few clouds
42,Mount Isa,-20.7333,139.5,86.0,32,7,12.66,AU,clear sky
43,Blackwater,-23.5833,148.8833,80.89,28,0,7.54,AU,clear sky
44,Saint Anthony,45.0205,-93.218,43.0,39,1,4.61,US,clear sky
45,Geneva,41.8875,-88.3054,55.4,67,90,10.36,US,overcast clouds
46,Bethel,41.3712,-73.414,57.2,41,1,5.75,US,clear sky
47,Mayo,38.8876,-76.5119,53.01,87,90,8.66,US,moderate rain
48,Tevaitoa,-16.7833,-151.5,79.48,71,91,8.55,PF,overcast clouds
49,Mataura,-46.1927,168.8643,46.0,77,34,15.01,NZ,scattered clouds
50,Luderitz,-26.6481,15.1594,60.04,86,96,2.35,NA,overcast clouds
51,Tilichiki,60.4667,166.1,29.98,98,100,6.22,RU,snow
52,Clyde River,70.4692,-68.5914,15.8,100,90,5.75,CA,fog
53,Katsuura,35.1333,140.3,71.01,52,75,17.27,JP,broken clouds
54,Acarau,-2.8856,-40.12,77.92,88,94,8.75,BR,overcast clouds
55,Tuatapere,-46.1333,167.6833,46.0,77,40,15.01,NZ,scattered clouds
56,Lebyazhye,55.2689,66.4947,45.09,45,100,13.42,RU,overcast clouds
57,New Norfolk,-42.7826,147.0587,63.0,70,96,4.0,AU,overcast clouds
58,Yellowknife,62.456,-114.3525,15.8,48,40,12.66,CA,scattered clouds
59,Bay Roberts,47.5999,-53.2648,37.99,90,32,1.99,CA,scattered clouds
60,Cidreira,-30.1811,-50.2056,67.55,88,90,7.92,BR,overcast clouds
61,Lebu,-37.6167,-73.65,53.29,85,2,14.43,CL,clear sky
62,Albanel,48.8832,-72.4487,44.6,57,63,6.91,CA,broken clouds
63,Punta Arenas,-53.15,-70.9167,44.6,70,0,9.22,CL,clear sky
64,Hobart,-42.8794,147.3294,63.0,51,40,19.57,AU,scattered clouds
65,Stroud,51.75,-2.2,41.0,75,1,11.5,GB,clear sky
66,Hamilton,39.1834,-84.5333,51.01,100,90,4.29,US,mist
67,Merauke,-8.4667,140.3333,83.5,70,89,8.16,ID,overcast clouds
68,Victoria,22.2855,114.1577,80.01,84,93,1.99,HK,overcast clouds
69,Pevek,69.7008,170.3133,26.67,93,100,5.32,RU,light snow
70,Mogadishu,2.0371,45.3438,82.62,75,43,9.13,SO,scattered clouds
71,Dali,25.7,100.1833,75.15,21,19,5.79,CN,few clouds
72,Anadyr,64.75,177.4833,35.6,87,20,8.95,RU,fog
73,Guerrero Negro,27.9769,-114.0611,58.86,84,3,17.13,MX,clear sky
74,Fare,-16.7,-151.0167,78.96,68,100,6.44,PF,overcast clouds
75,Talnakh,69.4865,88.3972,14.83,89,98,11.3,RU,overcast clouds
