City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Leh,34.1667,77.5833,20.8,59,28,6.85,IN,2021-04-24 00:30:56
1,Muros,42.7762,-9.0603,59.0,93,80,7.2,ES,2021-04-24 00:30:56
2,Kilindoni,-7.9139,39.6668,78.67,82,60,20.58,TZ,2021-04-24 00:30:57
3,Aklavik,68.2191,-135.0107,39.2,45,75,3.44,CA,2021-04-24 00:30:57
4,Santo Antonio Do Sudoeste,-26.0736,-53.7253,65.64,67,50,0.89,BR,2021-04-24 00:30:57
5,Rikitea,-23.1203,-134.9692,79.09,69,100,18.16,PF,2021-04-24 00:28:20
6,Bluff,-46.6,168.3333,55.99,78,99,1.99,NZ,2021-04-24 00:30:58
7,Mancio Lima,-7.6142,-72.8958,73.53,97,53,2.71,BR,2021-04-24 00:30:58
8,Meulaboh,4.1363,96.1285,78.1,84,100,3.51,ID,2021-04-24 00:30:59
9,Dikson,73.5069,80.5464,32.2,97,100,16.37,RU,2021-04-24 00:28:39
10,Srandakan,-7.9386,110.2506,79.95,73,0,2.93,ID,2021-04-24 00:30:59
11,Cape Town,-33.9258,18.4232,59.0,82,0,9.22,ZA,2021-04-24 00:30:50
12,Hun,29.1268,15.9477,66.02,53,3,17.25,LY,2021-04-24 00:31:00
13,Bengkulu,-3.8004,102.2655,76.6,83,100,2.66,ID,2021-04-24 00:31:00
14,Grojec,51.8625,20.8676,35.01,100,0,9.1,PL,2021-04-24 00:31:01
15,Watsa,3.0372,29.5355,61.45,98,100,2.57,CD,2021-04-24 00:31:01
16,Luderitz,-26.6481,15.1594,63.68,73,6,5.46,NA,2021-04-24 00:31:01
17,Ushuaia,-54.8,-68.3,42.8,93,75,10.36,AR,2021-04-24 00:27:47
18,Barrow,71.2906,-156.7887,24.8,80,1,5.75,US,2021-04-24 00:29:06
19,Rognan,67.0953,15.3878,32.0,76,78,1.1,NO,2021-04-24 00:31:02
20,Praia Da Vitoria,38.7333,-27.0667,57.2,72,40,33.49,PT,2021-04-24 00:31:03
21,Butaritari,3.0707,172.7902,82.38,76,96,8.39,KI,2021-04-24 00:27:37
22,Ostroleka,53.0862,21.5757,35.01,90,69,1.01,PL,2021-04-24 00:31:03
23,Ziro,27.6333,93.8333,55.72,72,0,2.08,IN,2021-04-24 00:31:04
24,Albany,42.6001,-73.9662,55.4,37,1,9.22,US,2021-04-24 00:28:41
25,Leningradskiy,69.3833,178.4167,29.08,83,99,3.71,RU,2021-04-24 00:29:50
26,Carnarvon,-24.8667,113.6333,68.0,56,2,8.05,AU,2021-04-24 00:31:04
27,Punta Arenas,-53.15,-70.9167,44.6,93,40,3.44,CL,2021-04-24 00:30:27
28,East London,-33.0153,27.9116,63.05,75,5,8.21,ZA,2021-04-24 00:31:05
29,Jalu,29.0331,21.5482,73.99,16,97,14.54,LY,2021-04-24 00:31:06
30,Kiunga,-6.1219,141.2906,89.64,60,17,1.01,PG,2021-04-24 00:31:06
31,Zhizdra,53.746,34.7395,39.2,70,100,6.71,RU,2021-04-24 00:31:06
32,Prince Rupert,54.3161,-130.3201,51.8,66,1,5.75,CA,2021-04-24 00:26:12
33,Dongsheng,39.8161,109.9776,56.05,46,100,6.51,CN,2021-04-24 00:31:07
34,Kodiak,57.79,-152.4072,41.0,81,90,5.75,US,2021-04-24 00:31:07
35,Pangai,-19.8,-174.35,84.2,74,40,4.61,TO,2021-04-24 00:31:08
36,Kapaa,22.0752,-159.319,78.8,65,40,14.97,US,2021-04-24 00:31:08
37,Tuktoyaktuk,69.4541,-133.0374,17.6,73,75,9.22,CA,2021-04-24 00:31:08
38,Jinchang,38.4953,102.1739,43.75,69,100,5.7,CN,2021-04-24 00:31:09
39,Lorengau,-2.0226,147.2712,81.19,79,100,6.89,PG,2021-04-24 00:30:48
40,Goundam,16.4145,-3.6708,86.86,11,48,4.16,ML,2021-04-24 00:31:10
41,Busselton,-33.65,115.3333,64.99,71,43,1.99,AU,2021-04-24 00:31:10
42,Atuona,-9.8,-139.0333,80.31,79,35,23.73,PF,2021-04-24 00:27:16
43,Sarangani,5.4033,125.4636,84.11,73,69,14.32,PH,2021-04-24 00:31:11
44,Olafsvik,64.8945,-23.7142,43.5,92,100,12.21,IS,2021-04-24 00:31:11
45,Alpena,45.0617,-83.4327,60.8,25,75,8.05,US,2021-04-24 00:31:11
46,Trincomalee,8.5711,81.2335,79.75,83,3,4.5,LK,2021-04-24 00:31:12
47,Arraial Do Cabo,-22.9661,-42.0278,74.26,76,84,11.56,BR,2021-04-24 00:30:46
48,Thompson,55.7435,-97.8558,26.6,39,40,12.66,CA,2021-04-24 00:26:33
49,Kyshtovka,56.555,76.6271,34.95,67,67,4.16,RU,2021-04-24 00:31:13
50,Tilichiki,60.4667,166.1,28.2,84,32,2.17,RU,2021-04-24 00:31:13
51,Ballina,-28.8667,153.5667,69.8,56,0,6.91,AU,2021-04-24 00:31:13
52,Havelock,34.8791,-76.9013,61.0,47,40,9.22,US,2021-04-24 00:31:14
53,Mataura,-46.1927,168.8643,55.0,78,76,3.0,NZ,2021-04-24 00:28:31
54,Provideniya,64.3833,-173.3,41.07,52,67,4.7,RU,2021-04-24 00:26:42
55,Lancaster,40.2504,-76.2499,57.2,30,1,11.5,US,2021-04-24 00:27:05
56,Puerto Ayora,-0.7393,-90.3518,77.0,95,14,5.01,EC,2021-04-24 00:31:15
57,Saint George,37.1041,-113.5841,81.0,9,1,23.02,US,2021-04-24 00:29:13
58,Mananjary,-21.2167,48.3333,70.68,93,74,6.98,MG,2021-04-24 00:31:15
